"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"am362","362","metro","after","vanS gene in vanG cluster","vanS; glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration",4110.85248306345
"amd782","782","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",11493.001835356
"amd782","782","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",268543.245164208
"amd782","782","metro+doxil","after","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",6749.70362025571
"amd782","782","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",22076.8557643332
"amd782","782","metro+doxil","after","tet(W/N/W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",3733.42981495394
"amd782","782","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",227869.506876611
"amd782","782","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",455889.718295399
"amd782","782","metro+doxil","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",3644.53862888361
"amd783","783","metro+doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",39183.3449550938
"amd783","783","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",385811.36799523
"amd783","783","metro+doxil","after","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",11000.5271755087
"amd783","783","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",19374.0627867168
"amd783","783","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",18731.0563738821
"amd783","783","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",377826.868086196
"amd783","783","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",140249.629863719
"amd783","783","metro+doxil","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7823.14276365418
"amd784","784","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",28679.4056709217
"amd784","784","metro+doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",8138.75025796426
"amd784","784","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",452594.146636551
"amd784","784","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",81573.2373392686
"amd784","784","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",337067.581013994
"amd784","784","metro+doxil","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",6408.05470459656
"amd784","784","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",85538.8243767042
"amd785","785","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",8972.86548117985
"amd785","785","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",618309.523780633
"amd785","785","metro+doxil","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",8883.13682636805
"amd785","785","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",103857.569860522
"amd785","785","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",77126.1518679248
"amd785","785","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",173247.361019731
"amd785","785","metro+doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",9603.39116364113
"amd786","786","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",5567.66476904469
"amd786","786","metro+doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",8438.31105329226
"amd786","786","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",653396.768184849
"amd786","786","metro+doxil","after","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7949.98286733785
"amd786","786","metro+doxil","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",5863.11236466166
"amd786","786","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",192460.57933936
"amd786","786","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",56711.7911402873
"amd786","786","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",69611.7902811672
"amd787","787","metro+doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",5152.87627401851
"amd787","787","metro+doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",14503.655612971
"amd787","787","metro+doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",37525.9038676124
